company,location,us_state,country,continent,total_laid_off,date_layoffs,pct_workforce,industry,stage,funds_raised_mil,year,layoff_year,layoff_month,layoff_quarter,company_size_category,department,severance_weeks,ai_related,reason,data_source
CTO.ai,Vancouver,British Columbia,Canada,North America,30,2020-03-20,50.0,Infrastructure,Seed,7.0,2020,2020,2020-03,2020-Q1,Small (<100),,,,,main
Acko,Mumbai,Maharashtra,India,Asia,45,2020-04-01,9.0,Finance,Unknown,143.0,2024,2020,2020-04,2020-Q2,Small (<100),,,,,main
Aqua Security,Tel Aviv,non,Israel,Asia,24,2020-04-01,9.0,Security,Series C,100.0,2020,2020,2020-04,2020-Q2,Small (<100),,,,,main
Sensibill,Toronto,Ontario,Canada,North America,17,2020-04-01,20.0,Finance,Series B,50.0,2020,2020,2020-04,2020-Q2,Small (<100),,,,,main
eGym,Munich,Bayern,Germany,Europe,100,2020-04-02,25.0,Fitness,Series D,109.0,2020,2020,2020-04,2020-Q2,Mid-size (100-999),,,,,main
Borrowell,Toronto,Ontario,Canada,North America,15,2020-04-06,20.0,Finance,Series B,72.0,2020,2020,2020-04,2020-Q2,Small (<100),,,,,main
GetNinjas,Sao Paulo,State of São Paulo,Brazil,South America,11,2020-04-08,10.0,Consumer,Series B,16.0,2020,2020,2020-04,2020-Q2,Small (<100),,,,,main
Kenoby,Sao Paulo,State of São Paulo,Brazil,South America,18,2020-04-08,16.0,HR,Unknown,23.0,2020,2020,2020-04,2020-Q2,Small (<100),,,,,main
Unbabel,Lisbon,non,Portugal,Europe,80,2020-04-08,35.0,Support,Series C,91.0,2020,2020,2020-04,2020-Q2,Small (<100),,,,,main
TouchBistro,Toronto,Ontario,Canada,North America,131,2020-04-14,23.0,Food,Series E,224.0,2020,2020,2020-04,2020-Q2,Mid-size (100-999),,,,,main
Funding Societies,Singapore,non,Singapore,Asia,65,2020-04-16,18.0,Finance,Series B,42.0,2020,2020,2020-04,2020-Q2,Small (<100),,,,,main
ContaAzul,Joinville,State of Santa Catarina,Brazil,South America,140,2020-04-17,35.0,Education,Series D,37.0,2020,2020,2020-04,2020-Q2,Mid-size (100-999),,,,,main
Loft,Sao Paulo,State of São Paulo,Brazil,South America,47,2020-04-17,10.0,Real Estate,Series C,263.0,2020,2020,2020-04,2020-Q2,Small (<100),,,,,main
QuintoAndar,Sao Paulo,State of São Paulo,Brazil,South America,88,2020-04-17,8.0,Real Estate,Series D,335.0,2020,2020,2020-04,2020-Q2,Small (<100),,,,,main
Klook,Hong Kong,non,Hong Kong,Asia,300,2020-04-20,15.0,Travel,Series D,521.0,2020,2020,2020-04,2020-Q2,Mid-size (100-999),,,,,main
Kueski,Guadalajara,Jalisco,Mexico,North America,90,2020-04-20,30.0,Finance,Series B,38.0,2020,2020,2020-04,2020-Q2,Small (<100),,,,,main
Movidesk,Blumenau,State of Santa Catarina,Brazil,South America,33,2020-04-20,25.0,Support,Seed,1.0,2020,2020,2020-04,2020-Q2,Small (<100),,,,,main
TutorMundi,Sao Paulo,State of São Paulo,Brazil,South America,4,2020-04-24,100.0,Education,Series A,2.0,2020,2020,2020-04,2020-Q2,Small (<100),,,,,main
CureFit,Bengaluru,Karnataka,India,Asia,800,2020-05-04,16.0,Fitness,Series D,404.0,2020,2020,2020-05,2020-Q2,Mid-size (100-999),,,,,main
Mercos,Joinville,State of Santa Catarina,Brazil,South America,51,2020-05-13,40.0,Sales,Unknown,2.0,2020,2020,2020-05,2020-Q2,Small (<100),,,,,main
Lendingkart,Ahmedabad,Gujarat,India,Asia,500,2020-05-15,50.0,Finance,Unknown,200.0,2020,2020,2020-05,2020-Q2,Mid-size (100-999),,,,,main
Zomato,Gurugram,Haryana,India,Asia,520,2020-05-15,13.0,Food,Series J,914.0,2020,2020,2020-05,2020-Q2,Mid-size (100-999),,,,,main
Swiggy,Bengaluru,Karnataka,India,Asia,1100,2020-05-18,14.0,Food,Series I,1600.0,2020,2020,2020-05,2020-Q2,"Large (1,000-4,999)",,,,,main
WeWork,New Delhi,Delhi,India,Asia,100,2020-05-18,20.0,Real Estate,Series H,19500.0,2020,2020,2020-05,2020-Q2,Mid-size (100-999),,,,,main
PickYourTrail,Chennai,Tamil Nadu,India,Asia,70,2020-05-21,35.0,Travel,Series A,3.0,2020,2020,2020-05,2020-Q2,Small (<100),,,,,main
Ebanx,Curitiba,State of Paraná,Brazil,South America,62,2020-05-27,8.0,Finance,Unknown,30.0,2020,2020,2020-05,2020-Q2,Small (<100),,,,,main
PaisaBazaar,Gurugram,Haryana,India,Asia,1500,2020-06-16,50.0,Finance,Series G,496.0,2020,2020,2020-06,2020-Q2,"Large (1,000-4,999)",,,,,main
Navi,Bengaluru,Karnataka,India,Asia,40,2020-06-17,25.0,Finance,Private Equity,582.0,2020,2020,2020-06,2020-Q2,Small (<100),,,,,main
Swiggy,Bengaluru,Karnataka,India,Asia,350,2020-07-27,5.0,Food,Series I,1600.0,2020,2020,2020-07,2020-Q3,Mid-size (100-999),,,,,main
Zeitgold,Berlin,Berlin,Germany,Europe,75,2020-07-27,72.0,Finance,Series B,60.0,2020,2020,2020-07,2020-Q3,Small (<100),,,,,main
Delivery Hero,Berlin,Berlin,Germany,Europe,300,2021-12-22,7.0,Food,Post-IPO,,2021,2021,2021-12,2021-Q4,Mid-size (100-999),,,,,main
Liv Up,Sao Paulo,State of São Paulo,Brazil,South America,100,2022-02-16,15.0,Food,Series D,118.0,2022,2022,2022-02,2022-Q1,Mid-size (100-999),,,,,main
Zak,Sao Paulo,State of São Paulo,Brazil,South America,100,2022-05-16,40.0,Food,Series A,29.0,2022,2022,2022-05,2022-Q2,Mid-size (100-999),,,,,main
Vedantu,Bengaluru,Karnataka,India,Asia,424,2022-05-18,7.0,Education,Series E,292.0,2022,2022,2022-05,2022-Q2,Mid-size (100-999),,,,,main
BeyondMinds,Tel Aviv,non,Israel,Asia,65,2022-05-23,100.0,Data,Series A,16.0,2022,2022,2022-05,2022-Q2,Small (<100),,,,,main
Klarna,Stockholm,non,Sweden,Europe,700,2022-05-23,10.0,Finance,Unknown,3700.0,2022,2022,2022-05,2022-Q2,Mid-size (100-999),,,,,main
Gorillas,Berlin,Berlin,Germany,Europe,300,2022-05-24,50.0,Food,Series C,1300.0,2022,2022,2022-05,2022-Q2,Mid-size (100-999),,,,,main
Kontist,Berlin,Berlin,Germany,Europe,50,2022-05-25,25.0,Finance,Series B,53.0,2022,2022,2022-05,2022-Q2,Small (<100),,,,,main
Nuri,Berlin,Berlin,Germany,Europe,45,2022-05-25,20.0,Finance,Series B,42.0,2022,2022,2022-05,2022-Q2,Small (<100),,,,,main
Stashaway,Singapore,non,Singapore,Asia,31,2022-06-09,14.0,Finance,Series D,61.0,2022,2022,2022-06,2022-Q2,Small (<100),,,,,main
Wealthsimple,Toronto,Ontario,Canada,North America,159,2022-06-15,13.0,Finance,Unknown,900.0,2022,2022,2022-06,2022-Q2,Mid-size (100-999),,,,,main
Unacademy,Bengaluru,Karnataka,India,Asia,150,2022-06-18,3.0,Education,Series H,838.0,2022,2022,2022-06,2022-Q2,Mid-size (100-999),,,,,main
Aqgromalin,Chennai,Tamil Nadu,India,Asia,80,2022-06-20,30.0,Food,Unknown,12.0,2022,2022,2022-06,2022-Q2,Small (<100),,,,,main
Brighte,Sydney,New South Wales,Australia,Oceana,30,2022-06-20,15.0,Energy,Series C,145.0,2022,2022,2022-06,2022-Q2,Small (<100),,,,,main
Rows,Berlin,Berlin,Germany,Europe,18,2022-06-29,30.0,Other,Series B,25.0,2022,2022,2022-06,2022-Q2,Small (<100),,,,,main
Crejo.Fun,Bengaluru,Karnataka,India,Asia,170,2022-06-30,100.0,Education,Seed,3.0,2022,2022,2022-06,2022-Q2,Mid-size (100-999),,,,,main
Finleap Connect,Hamburg,Hamburg,Germany,Europe,14,2022-06-30,10.0,Finance,Series A,22.0,2022,2022,2022-06,2022-Q2,Small (<100),,,,,main
Lendis,Berlin,Berlin,Germany,Europe,18,2022-07-04,15.0,Other,Series A,90.0,2022,2022,2022-07,2022-Q3,Small (<100),,,,,main
Lightricks,Jerusalem,non,Israel,Asia,80,2022-07-04,12.0,Consumer,Series D,335.0,2022,2022,2022-07,2022-Q3,Small (<100),,,,,main
eToro,Tel Aviv,non,Israel,Asia,100,2022-07-05,6.0,Finance,Unknown,322.0,2022,2022,2022-07,2022-Q3,Mid-size (100-999),,,,,main
Anodot,Tel Aviv,non,Israel,Asia,35,2022-07-06,27.0,Data,Series C,64.0,2022,2022,2022-07,2022-Q3,Small (<100),,,,,main
Bryter,Berlin,Berlin,Germany,Europe,100,2022-07-13,30.0,Product,Series B,89.0,2022,2022,2022-07,2022-Q3,Mid-size (100-999),,,,,main
Wave,Dakar,non,Senegal,Africa,300,2022-07-13,15.0,Finance,Series A,292.0,2022,2022,2022-07,2022-Q3,Mid-size (100-999),,,,,main
Bright Money,Bengaluru,Karnataka,India,Asia,100,2022-07-15,50.0,Finance,Series A,31.0,2022,2022,2022-07,2022-Q3,Mid-size (100-999),,,,,main
Forma.ai,Toronto,Ontario,Canada,North America,15,2022-07-20,9.0,Sales,Series B,58.0,2022,2022,2022-07,2022-Q3,Small (<100),,,,,main
Zencity,Tel Aviv,non,Israel,Asia,30,2022-07-20,20.0,Other,Unknown,51.0,2022,2022,2022-07,2022-Q3,Small (<100),,,,,main
InDebted,Sydney,New South Wales,Australia,Oceana,40,2022-07-26,17.0,Finance,Series B,41.0,2022,2022,2022-07,2022-Q3,Small (<100),,,,,main
Clearco,Toronto,Ontario,Canada,North America,125,2022-07-29,25.0,Finance,Series C,681.0,2022,2022,2022-07,2022-Q3,Mid-size (100-999),,,,,main
Vee,Tel Aviv,non,Israel,Asia,16,2022-07-31,32.0,HR,Seed,15.0,2022,2022,2022-07,2022-Q3,Small (<100),,,,,main
Hash,Sao Paulo,State of São Paulo,Brazil,South America,58,2022-08-01,50.0,Finance,Series C,58.0,2022,2022,2022-08,2022-Q3,Small (<100),,,,,main
LEAD,Mumbai,Maharashtra,India,Asia,80,2022-08-04,4.0,Education,Series E,166.0,2022,2022,2022-08,2022-Q3,Small (<100),,,,,main
RenoRun,Montreal,Quebec,Canada,North America,70,2022-08-04,12.0,Construction,Series B,163.0,2022,2022,2022-08,2022-Q3,Small (<100),,,,,main
Linktree,Melbourne,Victoria,Australia,Oceana,50,2022-08-09,17.0,Consumer,Unknown,165.0,2022,2022,2022-08,2022-Q3,Small (<100),,,,,main
Trybe,Sao Paulo,State of São Paulo,Brazil,South America,47,2022-08-10,10.0,Education,Series B,40.0,2022,2022,2022-08,2022-Q3,Small (<100),,,,,main
Career Karma,San Francisco,California,United States,North America,60,2022-07-28,33.0,Education,Series B,51.0,2022,2022,2022-07,2022-Q3,Small (<100),,,,,main
Metromile,San Francisco,California,United States,North America,60,2022-07-28,20.0,Finance,Acquired,510.0,2022,2022,2022-07,2022-Q3,Small (<100),,,,,main
Latch,New York City,New York,United States,North America,115,2022-08-02,37.0,Security,Post-IPO,342.0,2022,2022,2022-08,2022-Q3,Mid-size (100-999),,,,,main
Pliops,Tel Aviv,non,Israel,Asia,12,2022-08-16,9.0,Data,Series D,205.0,2022,2022,2022-08,2022-Q3,Small (<100),,,,,main
NSO,Tel Aviv,non,Israel,Asia,100,2022-08-21,14.0,Security,Seed,1.0,2022,2022,2022-08,2022-Q3,Mid-size (100-999),,,,,main
Q4,Toronto,Ontario,Canada,North America,50,2022-08-23,8.0,Other,Series C,91.0,2022,2022,2022-08,2022-Q3,Small (<100),,,,,main
Clear,Bengaluru,Karnataka,India,Asia,190,2022-09-16,20.0,Finance,Series C,140.0,2022,2022,2022-09,2022-Q3,Mid-size (100-999),,,,,main
Ada,Toronto,Ontario,Canada,North America,78,2022-09-20,16.0,Support,Series C,190.0,2024,2022,2022-09,2022-Q3,Small (<100),,,,,main
Moss,Berlin,Berlin,Germany,Europe,70,2022-09-23,15.0,Finance,Series B,150.0,2022,2022,2022-09,2022-Q3,Small (<100),,,,,main
Truiloo,Vancouver,British Columbia,Canada,North America,24,2022-09-23,5.0,Security,Series D,474.0,2022,2022,2022-09,2022-Q3,Small (<100),,,,,main
Elinvar,Berlin,Berlin,Germany,Europe,43,2022-10-21,33.0,Finance,Unknown,30.0,2022,2022,2022-10,2022-Q4,Small (<100),,,,,main
Unico,Sao Paulo,State of São Paulo,Brazil,South America,50,2022-10-24,4.0,Other,Series D,336.0,2022,2022,2022-10,2022-Q4,Small (<100),,,,,main
Vee,Tel Aviv,non,Israel,Asia,17,2022-10-25,50.0,HR,Seed,15.0,2022,2022,2022-10,2022-Q4,Small (<100),,,,,main
RenoRun,Montreal,Quebec,Canada,North America,210,2022-10-27,43.0,Construction,Series B,163.0,2022,2022,2022-10,2022-Q4,Mid-size (100-999),,,,,main
Pipedrive,Tallinn,non,Estonia,Europe,143,2022-11-14,15.0,Sales,Private Equity,90.0,2022,2022,2022-11,2022-Q4,Mid-size (100-999),,,,,main
Deliveroo Australia,Melbourne,Victoria,Australia,Oceana,120,2022-11-15,100.0,Food,Post-IPO,,2022,2022,2022-11,2022-Q4,Mid-size (100-999),,,,,main
Kitopi,Dubai,non,United Arabian Emirates,Asia,93,2022-11-21,10.0,Food,Series C,804.0,2022,2022,2022-11,2022-Q4,Small (<100),,,,,main
Vendease,Lagos,non,Nigeria,Africa,27,2022-11-25,9.0,Food,Series A,43.0,2022,2022,2022-11,2022-Q4,Small (<100),,,,,main
Ajaib,Jakarta,non,Indonesia,Asia,67,2022-11-28,8.0,Finance,Unknown,245.0,2022,2022,2022-11,2022-Q4,Small (<100),,,,,main
ApplyBoard,Waterloo,Ontario,Canada,North America,90,2022-11-28,6.0,Education,Series D,483.0,2022,2022,2022-11,2022-Q4,Small (<100),,,,,main
Infarm,Berlin,Berlin,Germany,Europe,500,2022-11-28,50.0,Other,Series D,604.0,2022,2022,2022-11,2022-Q4,Mid-size (100-999),,,,,main
ResearchGate,Berlin,Berlin,Germany,Europe,25,2022-11-28,10.0,Other,Series D,87.0,2022,2022,2022-11,2022-Q4,Small (<100),,,,,main
Wildlife Studios,Sao Paulo,State of São Paulo,Brazil,South America,300,2022-11-28,20.0,Consumer,Unknown,260.0,2022,2022,2022-11,2022-Q4,Mid-size (100-999),,,,,main
Teachmint,Bengaluru,Karnataka,India,Asia,45,2022-11-30,5.0,Education,Series B,118.0,2022,2022,2022-11,2022-Q4,Small (<100),,,,,main
Ualá,Buenos Aires,non,Argentina,South America,53,2022-11-30,3.0,Finance,Series D,544.0,2022,2022,2022-11,2022-Q4,Small (<100),,,,,main
DataRails,Tel Aviv,non,Israel,Asia,30,2022-12-05,18.0,Finance,Series B,103.0,2022,2022,2022-12,2022-Q4,Small (<100),,,,,main
Glints,Singapore,non,Singapore,Asia,198,2022-12-08,18.0,HR,Series D,82.0,2022,2022,2022-12,2022-Q4,Mid-size (100-999),,,,,main
Swiggy,Bengaluru,Karnataka,India,Asia,250,2022-12-08,3.0,Food,Unknown,,2022,2022,2022-12,2022-Q4,Mid-size (100-999),,,,,main
Xentral,Munich,Bayern,Germany,Europe,20,2022-12-10,10.0,Product,Series B,94.0,2022,2022,2022-12,2022-Q4,Small (<100),,,,,main
Workmotion,Berlin,Berlin,Germany,Europe,60,2022-12-15,20.0,HR,Series B,76.0,2022,2022,2022-12,2022-Q4,Small (<100),,,,,main
Revelate,Montreal,Quebec,Canada,North America,24,2022-12-16,30.0,Data,Series A,26.0,2022,2022,2022-12,2022-Q4,Small (<100),,,,,main
Tomorrow,Hamburg,Hamburg,Germany,Europe,30,2022-12-16,25.0,Finance,Unknown,29.0,2022,2022,2022-12,2022-Q4,Small (<100),,,,,main
ForeScout,Tel Aviv,non,Israel,Asia,100,2023-01-10,10.0,Security,Acquired,125.0,2023,2023,2023-01,2023-Q1,Mid-size (100-999),,,,,main
Thinkific,Vancouver,British Columbia,Canada,North America,76,2023-01-10,19.0,Education,Post-IPO,22.0,2023,2023,2023-01,2023-Q1,Small (<100),,,,,main
Pier,Sao Paulo,State of São Paulo,Brazil,South America,111,2023-01-12,39.0,Finance,Series B,42.0,2023,2023,2023-01,2023-Q1,Mid-size (100-999),,,,,main
BharatAgri,Mumbai,Maharashtra,India,Asia,40,2023-01-15,43.0,Food,Series A,21.0,2023,2023,2023-01,2023-Q1,Small (<100),,,,,main
ClearCo,Toronto,Ontario,Canada,North America,50,2023-01-16,30.0,Finance,Series C,698.0,2023,2023,2023-01,2023-Q1,Small (<100),,,,,main
ShareChat,Bengaluru,Karnataka,India,Asia,500,2023-01-16,20.0,Consumer,Series H,1700.0,2023,2023,2023-01,2023-Q1,Mid-size (100-999),,,,,main
Exotel,Bengaluru,Karnataka,India,Asia,142,2023-01-17,15.0,Support,Series D,87.0,2023,2023,2023-01,2023-Q1,Mid-size (100-999),,,,,main
Swiggy,Bengaluru,Karnataka,India,Asia,380,2023-01-20,6.0,Food,Unknown,,2023,2023,2023-01,2023-Q1,Mid-size (100-999),,,,,main
Gitpod,Kiel,Schleswig-Holstein,Germany,Europe,21,2023-01-24,28.0,Product,Series A,41.0,2023,2023,2023-01,2023-Q1,Small (<100),,,,,main
PartnerStack,Toronto,Ontario,Canada,North America,40,2023-01-24,20.0,Sales,Series B,36.0,2023,2023,2023-01,2023-Q1,Small (<100),,,,,main
SAP,Walldorf,Baden-Würtemberg,Germany,Europe,3000,2023-01-26,3.0,Other,Post-IPO,1300.0,2023,2023,2023-01,2023-Q1,"Large (1,000-4,999)",,,,,main
Delivery Hero,Berlin,Berlin,Germany,Europe,156,2023-01-30,4.0,Food,Post-IPO,,2023,2023,2023-01,2023-Q1,Mid-size (100-999),,,,,main
Glovo,Barcelona,Catalonia,Spain,Europe,250,2023-01-30,6.0,Food,Acquired,,2023,2023,2023-01,2023-Q1,Mid-size (100-999),,,,,main
AU10TIX,Tel Aviv,non,Israel,Asia,19,2023-01-31,9.0,Security,Unknown,80.0,2023,2023,2023-01,2023-Q1,Small (<100),,,,,main
Lightico,Tel Aviv,non,Israel,Asia,20,2023-02-05,25.0,Finance,Series B,42.0,2023,2023,2023-02,2023-Q1,Small (<100),,,,,main
LearnUpon,Dublin,non,Ireland,Europe,27,2023-02-07,9.0,Education,Private Equity,56.0,2023,2023,2023-02,2023-Q1,Small (<100),,,,,main
Openpay,Melbourne,Victoria,Australia,Oceana,83,2023-02-07,100.0,Finance,Post-IPO,299.0,2023,2023,2023-02,2023-Q1,Small (<100),,,,,main
Green Labs,Seoul,non,South Korea,Asia,350,2023-02-21,70.0,Food,Series C,214.0,2023,2023,2023-02,2023-Q1,Mid-size (100-999),,,,,main
Ericsson,Stockholm,non,Sweden,Europe,8500,2023-02-24,8.0,Other,Post-IPO,663.0,2023,2023,2023-02,2023-Q1,"Very Large (5,000-9,999)",,,,,main
iFood,Sao Paulo,State of São Paulo,Brazil,South America,355,2023-03-01,6.0,Food,Subsidiary,2100.0,2023,2023,2023-03,2023-Q1,Mid-size (100-999),,,,,main
PayFit,Paris,non,France,Europe,200,2023-03-01,20.0,HR,Series E,495.0,2023,2023,2023-03,2023-Q1,Mid-size (100-999),,,,,main
Fittr,Pune,Maharashtra,India,Asia,30,2023-03-02,11.0,Fitness,Series A,13.0,2023,2023,2023-03,2023-Q1,Small (<100),,,,,main
Loft,Sao Paulo,State of São Paulo,Brazil,South America,340,2023-03-03,15.0,Real Estate,Unknown,788.0,2023,2023,2023-03,2023-Q1,Mid-size (100-999),,,,,main
FanClash,Gurugram,Haryana,India,Asia,100,2023-03-30,75.0,Consumer,Series B,50.0,2023,2023,2023-03,2023-Q1,Mid-size (100-999),,,,,main
Domestika,Madrid,Community of Madrid,Spain,Europe,89,2023-03-31,45.0,Education,Series D,130.0,2023,2023,2023-03,2023-Q1,Small (<100),,,,,main
Dunzo,Bengaluru,Karnataka,India,Asia,300,2023-04-05,30.0,Food,Unknown,382.0,2023,2023,2023-04,2023-Q2,Mid-size (100-999),,,,,main
Talent.com,Montreal,Quebec,Canada,North America,86,2023-04-05,18.0,HR,Series B,150.0,2023,2023,2023-04,2023-Q2,Small (<100),,,,,main
ZestMoney,Bengaluru,Karnataka,India,Asia,100,2023-04-07,20.0,Finance,Series C,120.0,2023,2023,2023-04,2023-Q2,Mid-size (100-999),,,,,main
Megaport,Brisbane,Queensland,Australia,Oceana,50,2023-04-27,16.0,Infrastructure,Post-IPO,98.0,2023,2023,2023-04,2023-Q2,Small (<100),,,,,main
Tickertape,Bengaluru,Karnataka,India,Asia,29,2023-04-27,29.0,Finance,Seed,5.0,2023,2023,2023-04,2023-Q2,Small (<100),,,,,main
N26,Berlin,Berlin,Germany,Europe,71,2023-04-28,4.0,Finance,Series E,1700.0,2023,2023,2023-04,2023-Q2,Small (<100),,,,,main
Earnix,Tel Aviv,non,Israel,Asia,30,2023-05-04,10.0,Finance,Unknown,100.0,2023,2023,2023-05,2023-Q2,Small (<100),,,,,main
AudioCodes,Tel Aviv,non,Israel,Asia,80,2023-05-09,6.0,Other,Post-IPO,91.0,2023,2023,2023-05,2023-Q2,Small (<100),,,,,main
Cornershop,Santiago,non,Chile,South America,250,2023-05-11,11.0,Food,Acquired,31.0,2023,2023,2023-05,2023-Q2,Mid-size (100-999),,,,,main
Linktree,Melbourne,Victoria,Australia,Oceana,60,2023-06-06,27.0,Consumer,Unknown,165.0,2023,2023,2023-06,2023-Q2,Small (<100),,,,,main
Trybe,Sao Paulo,State of São Paulo,Brazil,South America,128,2023-06-09,35.0,Education,Series B,40.0,2023,2023,2023-06,2023-Q2,Mid-size (100-999),,,,,main
FrontRow,Bengaluru,Karnataka,India,Asia,39,2023-06-15,90.0,Education,Series A,17.0,2023,2023,2023-06,2023-Q2,Small (<100),,,,,main
Ritual,Toronto,Ontario,Canada,North America,38,2023-06-21,40.0,Food,Series C,134.0,2023,2023,2023-06,2023-Q2,Small (<100),,,,,main
Milkbasket,Gurugram,Haryana,India,Asia,400,2023-07-27,67.0,Food,Acquired,39.0,2023,2023,2023-07,2023-Q3,Mid-size (100-999),,,,,main
Fable,Toronto,Ontario,Canada,North America,13,2023-07-31,9.0,Other,Series A,12.0,2023,2023,2023-07,2023-Q3,Small (<100),,,,,main
Paper,Montreal,Quebec,Canada,North America,106,2023-08-01,4.0,Education,Series D,389.0,2023,2023,2023-08,2023-Q3,Mid-size (100-999),,,,,main
Vesttoo,Tel Aviv,non,Israel,Asia,150,2023-08-01,75.0,Finance,Series C,110.0,2023,2023,2023-08,2023-Q3,Mid-size (100-999),,,,,main
Gupy,Sao Paulo,State of São Paulo,Brazil,South America,58,2023-08-02,8.0,HR,Series B,105.0,2023,2023,2023-08,2023-Q3,Small (<100),,,,,main
Homeday,Berlin,Berlin,Germany,Europe,40,2023-09-12,20.0,Real Estate,Unknown,71.0,2023,2023,2023-09,2023-Q3,Small (<100),,,,,main
Paper,Montreal,Quebec,Canada,North America,87,2023-09-12,3.0,Education,Series D,389.0,2023,2023,2023-09,2023-Q3,Small (<100),,,,,main
7shifts,Saskatoon,Saskatchewan,Canada,North America,30,2023-09-15,7.0,Food,Series C,131.0,2023,2023,2023-09,2023-Q3,Small (<100),,,,,main
Dunzo,Bengaluru,Karnataka,India,Asia,150,2023-09-26,30.0,Food,Unknown,458.0,2023,2023,2023-09,2023-Q3,Mid-size (100-999),,,,,main
ZestMoney,Bengaluru,Karnataka,India,Asia,150,2023-12-05,100.0,Finance,Series C,120.0,2023,2023,2023-12,2023-Q4,Mid-size (100-999),,,,,main
ShareChat,Bengaluru,Karnataka,India,Asia,200,2023-12-20,15.0,Consumer,Series H,1700.0,2023,2023,2023-12,2023-Q4,Mid-size (100-999),,,,,main
Orca Security,Tel Aviv,non,Israel,Asia,60,2024-01-03,15.0,Security,Series C,632.0,2024,2024,2024-01,2024-Q1,Small (<100),,,,,main
Pitch,Berlin,Berlin,Germany,Europe,80,2024-01-08,67.0,Other,Series B,138.0,2024,2024,2024-01,2024-Q1,Small (<100),,,,,main
7Shifts,Saskatoon,Saskatchewan,Canada,North America,68,2024-01-11,19.0,Food,Series C,131.0,2024,2024,2024-01,2024-Q1,Small (<100),,,,,main
Playtika,Tel Aviv,non,Israel,Asia,300,2024-01-11,10.0,Consumer,Post-IPO,,2024,2024,2024-01,2024-Q1,Mid-size (100-999),,,,,main
